Date,Site,Elevation,Transect,No,Position,Sample_Depth,Soil_Depth,Description,Depth,Amplitude,Pixel_count,roots,rocks,soil,root_dens_soil,root_dens_all
2023-12-09T00:00:00Z,4,2600,1,1,2.28,13,15,site_4_transect_1_W,0.03,7.3,432,4.31,100.97,87.33,0.04935302874155502,0.02288900690387679
2023-12-09T00:00:00Z,4,2600,1,2,6.61,7,9.5,site_4_transect_1_W,0.04,10.4,1036,3.42,75.55,59.01,0.057956278596847995,0.02541617122473246
2023-12-09T00:00:00Z,4,2600,1,3,8.53,9,10.5,site_4_transect_1_W,0.05,4.5,634,3.92,87.88,92.44,0.04240588489831242,0.021739130434782608
2023-12-09T00:00:00Z,4,2600,1,4,10.61,10,17,site_4_transect_1_W,0.06,3.1,447,8.69,91.66,79.38,0.10947341899722852,0.050806828811973806
2023-12-09T00:00:00Z,4,2600,1,5,11.46,6.5,6.5,site_4_transect_1_W,0.04,8.8,3745,2.49,75.09,51.73,0.04813454475159483,0.01963412710928876
2023-12-09T00:00:00Z,4,2600,1,6,12.14,9.5,9.8,site_4_transect_1_W,0.05,6.1,2485,6.06,129.41,96.71,0.0626615655051184,0.026799929241110913
2023-12-09T00:00:00Z,4,2600,1,7,14.32,5,9,site_4_transect_1_W,0.04,8.9,1854,1.51,64.59,56.51,0.026720934347903028,0.012469033856317095
2023-12-09T00:00:00Z,4,2600,1,8,15.29,8,13,site_4_transect_1_W,0.07,3.1,235,9.82,139.28,91.52,0.10729895104895106,0.042547660311958405
2023-12-09T00:00:00Z,4,2600,1,9,17.42,10,11,site_4_transect_1_W,0.06,11.9,1851,3.15,100.45,71.2,0.04424157303370786,0.018351296242353626
2023-12-09T00:00:00Z,4,2600,1,10,18.24,9,9,site_4_transect_1_W,0.04,10.1,2317,1.93,142.31,96.17,0.020068628470416967,0.008092921838309291
2023-12-09T00:00:00Z,4,2600,2,1,0.75,10,35,site_4_transect_2_W,0.05,16.5,1686,8.58,55.1,46.99,0.1825920408597574,0.08404349103732
2023-12-09T00:00:00Z,4,2600,2,2,1.55,13,47,site_4_transect_2_W,0.05,2,216,7.71,62.61,68.49,0.11257117827420061,0.05881006864988558
2023-12-09T00:00:00Z,4,2600,2,3,2.34,10,40,site_4_transect_2_W,0.05,1.9,706,3.86,69.09,62.69,0.061572818631360667,0.02929124298072545
2023-12-09T00:00:00Z,4,2600,2,4,3.37,11,40,site_4_transect_2_W,0.04,36.5,3255,4.48,78,62.77,0.07137167436673571,0.03182496270512183
2023-12-09T00:00:00Z,4,2600,2,5,4.52,11.5,43,site_4_transect_2_W,0.05,3.9,536,3.56,79.26,70.32,0.050625711035267355,0.023799973258457015
2023-12-09T00:00:00Z,4,2600,2,6,8.37,11,55,site_4_transect_2_W,0.08,1.4,206,8.14,141.35,68.49,0.1188494670754855,0.038791460160122006
2023-12-09T00:00:00Z,4,2600,2,7,10.84,11,60,site_4_transect_2_W,0.05,1.8,173,5.38,81.13,72.8,0.0739010989010989,0.03495095173130643
2023-12-09T00:00:00Z,4,2600,2,8,12.57,12,42,site_4_transect_2_W,0.08,1.2,300,11.11,97.91,110.19,0.10082584626554134,0.053387794329649206
2023-12-09T00:00:00Z,4,2600,2,9,14.85,13,36,site_4_transect_2_W,0.06,2.3,477,2.32,160.86,103.87,0.022335611822470392,0.00876364597892192
2023-12-09T00:00:00Z,4,2600,2,10,18.15,15,34,site_4_transect_2_W,0.09,1.8,626,3.68,151.89,75.73,0.0485936881024693,0.01616729637114489
2023-12-09T00:00:00Z,3,2400,1,1,1.47,10,24,site_3_transect_1_W,0.05,17.9,993,13.91,31.36,48.8,0.2850409836065574,0.17352794411177647
2023-12-09T00:00:00Z,3,2400,1,2,3.86,13,37.5,site_3_transect_1_W,0.05,12.3,643,7.91,46.4,56.49,0.14002478314745972,0.07687821945767324
2023-12-09T00:00:00Z,3,2400,1,3,5.02,11.5,38,site_3_transect_1_W,0.09,5.8,914,19.62,75.28,102.72,0.19100467289719628,0.1102247191011236
2023-12-09T00:00:00Z,3,2400,1,4,11.08,16,39,site_3_transect_1_W,0.08,4.2,234,9.26,107.38,84.69,0.10933994568426024,0.04821158952465247
2023-12-09T00:00:00Z,3,2400,1,5,13.16,13.8,25,site_3_transect_1_W,0.04,18.9,1068,5.69,133.77,116.65,0.048778396913844835,0.022721827330085455
2023-12-09T00:00:00Z,3,2400,1,6,14.09,10.5,14,site_3_transect_1_W,0.07,8.3,771,2.57,51.06,37.2,0.06908602150537634,0.029118513482891455
2023-12-09T00:00:00Z,3,2400,1,7,15.08,10,35,site_3_transect_1_W,0.06,6.3,570,3.23,38.63,44.56,0.07248653500897666,0.03882678206515206
2023-12-09T00:00:00Z,3,2400,1,8,17.87,10,29,site_3_transect_1_W,0.09,11.8,1046,2.69,63.23,52.14,0.05159186804756425,0.02331628672965242
2023-12-09T00:00:00Z,3,2400,1,9,18.57,9,12.5,site_3_transect_1_W,0.05,39,1136,1.36,53.77,46.05,0.029533116178067323,0.013624524143458227
