id,date,elevation_m_asl,site_id,aspect,species,plant_id,fire,traits,value
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,root_depth_cm,16
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,no_root_scan,5
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_root_wet_mass_g,0.0527
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_root_dry_mass_g,0.0183
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_root_length_mm,1185.77074
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_root_volume_mm3,96.305368
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,RD,0.291187
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,BI,0.45034
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,SRL,64.79621530054645
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,RTD,0.19002056043231152
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,RDMC,347.24857685009493
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,no_tuber_scan,NA
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_tuber_wet_mass_g,NA
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_tuber_dry_mass_g,NA
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,reproductive_height_cm,32.8
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,vegetative_height_cm,15
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,no_leaf,5
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_leaf_wet_mass_g,0.193
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_leaf_dry_mass_g,0.0663
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,leaf_thick_1_mm,0.177
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,leaf_thick_2_mm,0.188
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,leaf_thick_3_mm,0.197
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,total_leaf_area_cm2,10.324
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,SLA,155.7164404223228
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,LT,0.18733333333333332
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,LDMC,343.52331606217615
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,belowground_biomass_g,8.5422
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,aboveground_biomass_g,0.5919
FBC0289,12/05/2023,2200,2,west,Eragrostis capensis,3,1,AGB_BGB,0.06929128327597106
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,root_depth_cm,12.7
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,no_root_scan,5
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,total_root_wet_mass_g,0.0496
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,total_root_dry_mass_g,0.01543
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,total_root_length_mm,765.949089
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,total_root_volume_mm3,59.193603
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,RD,0.277175
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,BI,0.261114
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,SRL,49.640252041477645
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,RTD,0.26067005922920417
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,RDMC,311.0887096774194
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,no_tuber_scan,5
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,total_tuber_wet_mass_g,0.598
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,total_tuber_dry_mass_g,0.18462
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,reproductive_height_cm,34
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,vegetative_height_cm,27
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,no_leaf,1
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,total_leaf_wet_mass_g,0.369
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,total_leaf_dry_mass_g,0.4487
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,leaf_thick_1_mm,0.644
FBD8952,12/08/2023,2800,5,northwest,Senecio glaberrimus,1,1,leaf_thick_2_mm,0.547
